400247 BANCO_ITAU_S.A. CREDIT CLASSIC BRAZIL
400248 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400249 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400252 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400253 BANCO_ITAU_S.A. CREDIT CLASSIC BRAZIL
400254 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400259 BANCO_SUDAMERIS_ARGENTINA_S.A. CREDIT CLASSIC ARGENTINA
400262 COOP_BANK_AB DEBIT CLASSIC SWEDEN
400263 COOP_BANK_AB DEBIT ELECTRON SWEDEN
400265 SOUTHTRUST_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400272 DRESDNER_BANK_AG N/A N/A GERMANY
400273 BANK_OF_PALESTINE_LTD. DEBIT ELECTRON JORDAN
400274 BANK_OF_PALESTINE_LTD. N/A N/A JORDAN
400275 FLEET_NATIONAL_BANK CREDIT BUSINESS UNITED_STATES_OF_AMERICA
400279 SIDELL_STATE_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400283 SERVICES_C.U. N/A N/A UNITED_STATES_OF_AMERICA
400284 FIRST_UNITED_NATIONAL_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400285 HALIFAX_PLC CREDIT GOLD/PREM UNITED_KINGDOM
400289 FORT_BELVOIR_F.C.U. CREDIT PLATINUM UNITED_STATES_OF_AMERICA
400292 EDUCATORS_AND_EMPLOYEES_C.U. DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400293 BANKINTER_S.A. CREDIT PLATINUM SPAIN
400294 CAPITAL_ONE_BANK CREDIT CLASSIC UNITED_STATES_OF_AMERICA
400295 MEMBERS_UNITED_F.C.U. CREDIT CLASSIC UNITED_STATES_OF_AMERICA
400296 HOMESTEAD_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400297 CATOOSA_TEACHERS_F.C.U. DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400298 FIRST_NATIONAL_BANK_OF_STEAMBOAT_SPRINGS DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400299 SMITH_AND_WILLIAMSON_INVESTMENT_MANAGEMENTLTD CREDIT CLASSIC UNITED_KINGDOM
400300 GLOBAL_PAYMENTS,_INC N/A N/A UNITED_STATES_OF_AMERICA
400302 VISA_AUSTRIA CREDIT BUSINESS AUSTRIA
400303 KAZKOMMERTSBANK CREDIT CLASSIC KAZAKHSTAN
400307 BANCO_INTERCONTINENTAL,_S.A. CREDIT CLASSIC DOMINICAN_REPUBLIC
400310 BANCO_DE_CREDITO_DEL_PERU CREDIT BUSINESS PERU
400311 CASSA_DI_RISPARMIO_DI_PISTOIA_E_PESCIA DEBIT ELECTRON ITALY
400312 CASSA_DI_RISPARMIO_DI_CIVITAVECCHIA_S.P.A. DEBIT ELECTRON ITALY
400313 CASSA_DI_RISPARMIO_DI_ORVIETO_S.P.A. DEBIT ELECTRON ITALY
400314 BANCA_MONTE_DEI_PASCHI_DI_SIENA_S.P.A. DEBIT ELECTRON ITALY
400315 BANCA_MONTE_DEI_PASCHI_DI_SIENA_S.P.A. CREDIT ELECTRON ITALY
400316 BANCA_CARIGE DEBIT ELECTRON ITALY
400317 CASSA_DI_RISPARMIO_DI_SAN_MINIATO_S.P.A. DEBIT ELECTRON ITALY
400318 CREDITO_EMILIANO DEBIT ELECTRON ITALY
400319 SERVIZI_INTERBANCARI_S.P.A. DEBIT ELECTRON ITALY
400320 CASSA_DI_RISPARMIO_DI_FIRENZE_S.P.A. DEBIT ELECTRON ITALY
400321 CASSA_DI_RISPARMIO_DI_PISTOIA_E_PESCIA DEBIT ELECTRON ITALY
400322 CASSA_DI_RISPARMIO_DI_CIVITAVECCHIA_S.P.A. DEBIT ELECTRON ITALY
400323 CASSA_DI_RISPARMIO_DI_ORVIETO_S.P.A. DEBIT ELECTRON ITALY
400325 BANCA_DI_SASSARI_SPA DEBIT ELECTRON ITALY
400336 PEAPACK-GLADSTONE_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400337 BANK_OF_AMERICA,_N.A._(USA) CREDIT BUSINESS UNITED_STATES_OF_AMERICA
400338 BANK_OF_AMERICA,_N.A._(USA) CREDIT BUSINESS UNITED_STATES_OF_AMERICA
400339 ICBA_BANCARD N/A N/A UNITED_STATES_OF_AMERICA
400390 BANK_OF_AMERICA,_N.A._(USA) CREDIT BUSINESS UNITED_STATES_OF_AMERICA
400391 FIRST_UNITED_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400392 VISA_JAPAN_ASSOCIATION N/A N/A JAPAN
400393 CAPITAL_ONE_BANK CREDIT CLASSIC UNITED_STATES_OF_AMERICA
400394 SERVICES_C.U. N/A N/A UNITED_STATES_OF_AMERICA
400395 ACADEMIC_F.C.U. CREDIT PLATINUM UNITED_STATES_OF_AMERICA
400396 THE_CLEVELAND_STATE_BANK CREDIT CLASSIC UNITED_STATES_OF_AMERICA
400397 THE_CLEVELAND_STATE_BANK CREDIT GOLD/PREM UNITED_STATES_OF_AMERICA
400398 THE_CLEVELAND_STATE_BANK CREDIT BUSINESS UNITED_STATES_OF_AMERICA
400402 PERFECT_CIRCLE_C.U. CREDIT GOLD/PREM UNITED_STATES_OF_AMERICA
400498 CAPITAL_ONE_BANK CREDIT CLASSIC UNITED_STATES_OF_AMERICA
400601 MARKS_AND_SPENCER_FINANCIAL_SERVICES_LIMITED CREDIT GOLD/PREM UNITED_KINGDOM
400602 BANK_OF_LENAWEE DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400603 SIGNATURE_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400604 CARD_SERVICES_FOR_C.U.S,_INC N/A N/A UNITED_STATES_OF_AMERICA
400607 ABN_AMRO_BANK_N.V. N/A N/A TAIWAN
400609 ING_BANK_(AUSTRALIA)_LIMITED CREDIT CLASSIC AUSTRALIA
400616 BANK_OF_CHINA N/A N/A HONG_KONG,_CHINA
400625 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400633 PACESETTER_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400635 BANCO_ITAU_S.A. CREDIT CLASSIC BRAZIL
400636 CAIXA_ECONOMICA_FEDERAL CREDIT CLASSIC BRAZIL
400637 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400638 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400639 THE_CASTALIA_BANKING_COMPANY DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400640 CENTRAL_SOYA_F.C.U. DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400641 BAYER_F.C.U. CREDIT PLATINUM UNITED_STATES_OF_AMERICA
400642 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400643 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400645 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400646 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400647 BANCO_ITAU_S.A. CREDIT CLASSIC BRAZIL
400649 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400652 CREDICARD_S.A._ADMINISTRADORA_DE_CARTOESDE_CREDITO CREDIT CLASSIC BRAZIL
400653 BANCO_ITAU_S.A. CREDIT CLASSIC BRAZIL
400659 TEACHERS_C.U. DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400660 VISA_JAPAN_ASSOCIATION N/A N/A JAPAN
400661 CITIBANK_(SOUTH_DAKOTA),_N.A. CREDIT PLATINUM UNITED_STATES_OF_AMERICA
400662 LINK_F.C.U. N/A N/A UNITED_STATES_OF_AMERICA
400663 ALLIANCE_BANK_MALAYSIA_BERHAD N/A N/A MALAYSIA
400665 THE_HONGKONG_AND_SHANGHAI_BANKING_CORPORATION_LIMITED N/A N/A JAPAN
400666 SBI_CARDS_AND_PAYMENT_SERVICES_PTE_LTD CREDIT CLASSIC INDIA
400667 SBI_CARDS_AND_PAYMENT_SERVICES_PTE_LTD CREDIT GOLD/PREM INDIA
400668 INDUSTRIAL_CENTRE_F.C.U. DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400669 CITIBANK,_N.A. N/A N/A BRUNEI_DARUSSALAM
400670 CHIYU_BANKING_CORPORATION_LIMITED N/A N/A HONG_KONG,_CHINA
400671 THE_CHINA_STATE_BANK,_LTD. N/A N/A HONG_KONG,_CHINA
400672 BANK_OF_CHINA N/A N/A HONG_KONG,_CHINA
400673 HUA_CHIAO_COMMERCIAL_BANK_LIMITED N/A N/A HONG_KONG,_CHINA
400674 KINCHENG_BANKING_CORPORATION N/A N/A HONG_KONG,_CHINA
400675 THE_KWANGTUNG_PROVINCIAL_BANK N/A N/A HONG_KONG,_CHINA
400676 NANYANG_COMMERCIAL_BANK_LIMITED N/A N/A HONG_KONG,_CHINA
400677 THE_NATIONAL_COMMERCIAL_BANK_LTD. N/A N/A HONG_KONG,_CHINA
400678 BANK_OF_CHINA_(HONG_KONG)_LIMITED N/A N/A HONG_KONG,_CHINA
400679 SIN_HUA_BANK_LTD N/A N/A HONG_KONG,_CHINA
400680 THE_CHINA_AND_SOUTH_SEA_BANK,_LTD. N/A N/A HONG_KONG,_CHINA
400681 THE_YIEN_YIEH_COMMERCIAL_BANK,_LTD. N/A N/A HONG_KONG,_CHINA
400684 SHANGHAI_COMMERCIAL_BANK_LIMITED N/A N/A HONG_KONG,_CHINA
400695 HOME_CITY_FEDERAL_SAVINGS_BANK N/A N/A UNITED_STATES_OF_AMERICA
400696 KOOKMIN_CREDIT_CARD_CO.,_LTD. CREDIT CORPORATE_T&E SOUTH_KOREA
400800 FIRST_DATA_RESOURCES,_INC N/A N/A UNITED_STATES_OF_AMERICA
400801 FIRST_DATA_RESOURCES,_INC N/A N/A UNITED_STATES_OF_AMERICA
400802 CHITTENDEN_BANK N/A N/A UNITED_STATES_OF_AMERICA
400803 BRAINTREE_COOPERATIVE_BANK DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400804 THE_NATIONAL_CAPITAL_BANK_OF_WASHINGTON DEBIT CLASSIC UNITED_STATES_OF_AMERICA
400805 METROPOLITAN_DISTRICT_EMPLOYEES'_C.U.,_INC DEBIT CLASSIC UNITED_STATES_OF_AMERICA
